Country,Arrivals_2024,Arrivals_2023,Receipts_2024_RMmil,Receipts_2023_RMmil,PerCapitaSpend_2024_RM,PerCapitaSpend_2023_RM,Arrivals_2024_millions,Receipts_2024_billions
United Kingdom,390035.0,306926.0,2450.48,1880.29,6282.718217595857,6126.199800603403,0.390035,2.45048
China,3725894.0,1613312.0,20866.57,8881.23,5600.41965767142,5504.967421056807,3.725894,20.86657
Australia,447785.0,400909.0,2488.2,2114.36,5556.684569603716,5273.915028098647,0.447785,2.4882
Chinese Taipei,423117.0,311437.0,2334.84,1624.42,5518.1900041832405,5215.886359038906,0.423117,2.3348400000000002
United States,304880.0,257533.0,1656.75,1308.79,5434.105221726581,5082.028322583902,0.30488,1.65675
Japan,367182.0,277559.0,1934.97,1382.73,5269.784466558818,4981.751627581883,0.367182,1.93497
South Korea,553165.0,465617.0,2901.45,2302.97,5245.180009581228,4946.0608182261385,0.553165,2.9014499999999996
Germany,170712.0,137977.0,887.54,703.01,5199.048690191667,5095.124549743798,0.170712,0.88754
Pakistan,106388.0,111245.0,547.04,543.13,5141.933300748205,4882.286844352555,0.106388,0.54704
France,183872.0,132311.0,924.86,623.52,5029.912112774104,4712.533349456961,0.183872,0.92486
Russia,130998.0,129514.0,628.69,594.55,4799.233576085131,4590.623407508068,0.130998,0.6286900000000001
India,1365387.0,773221.0,6112.06,3408.61,4476.430491867874,4408.325692137177,1.365387,6.1120600000000005
Indonesia,4145127.0,3479392.0,15323.27,11875.06,3696.6949384180502,3412.969852204063,4.145127,15.32327
Vietnam,366525.0,374181.0,1306.55,1299.92,3564.6954505149715,3474.0406380869154,0.366525,1.3065499999999999
Philippines,571533.0,461787.0,1804.38,1370.96,3157.088042160295,2968.8146266568788,0.571533,1.80438
